French,English
impression,impression
décidé,decided
sympa,nice
pars,go
fasse,do
avion,plane
bordel,mess
habitude,habit
table,table
rouge,red
système,system
photos,Pictures
médecin,doctor
seras,will be
bateau,boat
stupide,dumb
faim,hunger
autour,around
fond,bottom
surprise,surprise
croyez,believe
devais,had to
ligne,line
porter,carry
imagine,conceived
colère,anger
clair,light
seront,will be
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,gorgeous
risque,risk
terminé,ended
su,su
heureuse,happy
mission,assignment
jolie,pretty one
parlez,speak
présent,here
sorti,got out
cadeau,present
expliquer,explain
volé,Fly
plusieurs,various
gauche,left
ferait,would do
neuf,new
passe-t-il,he passes
ouvre,open
disais,said
dedans,inside
disent,say
pouvons,can
allez-y,Go for it
suivre,follow
pourra,may
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,pal
montre,show
pied,foot
marcher,walk
charlie,charlie
auras,auras
envoyer,send
vraie,real
espèce,species
doivent,must
allô,hi
pareil,the same
vas-tu,Are you going
soleil,Sun
camp,camp
fallait,had to
coin,corner
ignore,ignore
moitié,half
you,you
selon,according
tenir,hold
grosse,big
vouloir,want to
michael,Michael
vieille,old
devenu,became
continuer,Continue
rend,renders
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,attractive
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,to pose
chaud,hot
aimé,like
david,david
fais-tu,do you do
tom,Tom
professeur,teacher
quitter,leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,form
connaît,know
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,crazy woman
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,aim
froid,cold
allez-vous,Are you going
prêts,loans
tranquille,calm
gamin,kid
joe,joe
classe,class
joué,play
poste,job
con,stupid
mike,mike
attaque,offensive
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,upright
envoie,send
preuve,evidence
oublier,to forget
bons,good
vivant,living
ciel,sky
lu,read
touche,touches 
aimer,to like
faites-vous,do yourself
télé,TV
met,put
écouter,to listen
serez,will be
ll,ll
pourtant,yet
change,exchange
triste,sad
droite,right
gueule,mouth
tombe,falls
sentir,feel
ouvrir,open
travers,through
santé,health
dossier,case
ie,ie
jeunes,youth
frank,Frank
coucher,to sleep
cuisine,kitchen
monte,mounted
pouvez-vous,can you
